Symbol,YahooSymbol,LastAdjClose_2023,TotalReturn_2023,Rolling3Y_Beta_vs_SP500,AnnualVolatility_2023,MeanDailyVolume_2023,Status,Note
MSI,MSI, 307.64 ,0.231867814,0.899440044,0.190201257,719462.4,OK,
MTB,MTB, 129.84 ,-0.016200536,0.958870646,0.341446293,1344773.2,OK,
MTCH,MTCH, 35.86 ,-0.111057069,1.618319675,0.424615683,4884255.6,OK,
MTD,MTD," 1,212.96 ",-0.170268242,1.14909177,0.272755115,134281.6,OK,
MU,MU, 84.79 ,0.705999965,1.501548702,0.362575624,15222480.4,OK,
NCLH,NCLH, 20.04 ,0.689713448,1.882603605,0.491520345,14317788,OK,
NDAQ,NDAQ, 56.80 ,-0.04301736,0.87949417,0.245626885,2755850,OK,
NDSN,NDSN, 258.18 ,0.122405003,0.943918487,0.248092498,232591.6,OK,
NEE,NEE, 57.62 ,-0.254979802,0.737980832,0.283501111,10173325.6,OK,
NEM,NEM, 39.82 ,-0.131407627,0.46217084,0.324407768,9804624.8,OK,
NFLX,NFLX, 486.88 ,0.650720409,1.475867443,0.375859929,6401964,OK,
NI,NI, 25.08 ,0.004074061,0.511851613,0.209199199,4470408.8,OK,
NKE,NKE, 104.95 ,-0.073908555,1.199727235,0.270755351,7644710,OK,
NOC,NOC, 454.37 ,-0.119389573,0.334934851,0.227505416,833790.4,OK,
NOW,NOW, 706.49 ,0.832658859,1.624414992,0.315401321,1378449.6,OK,
NRG,NRG, 49.97 ,0.687858666,0.843160777,0.273306198,4016669.6,OK,
NSC,NSC, 227.37 ,-0.021425931,0.840062539,0.225524939,1359171.2,OK,
NTAP,NTAP, 85.17 ,0.493337801,1.017975479,0.269445417,2008970,OK,
NTRS,NTRS, 79.89 ,-0.024454991,1.11769853,0.330155932,1323772.4,OK,
NUE,NUE, 170.02 ,0.345181737,1.190126617,0.324803819,1553734,OK,
NVDA,NVDA, 49.50 ,2.460983551,2.156450266,0.484566084,473557460,OK,
NVR,NVR," 7,000.45 ",0.525378588,1.041903669,0.230606857,22696.8,OK,
NWS,NWS, 25.37 ,0.40639771,1.047213955,0.276860725,967418.4,OK,
NWSA,NWSA, 24.19 ,0.356633216,1.051665256,0.276466653,2662594.4,OK,
NXPI,NXPI, 222.67 ,0.51244222,1.615779239,0.318551851,2143740.4,OK,
O,O, 52.28 ,-0.050992917,0.590919283,0.196566583,4939236.8,OK,
ODFL,ODFL, 200.57 ,0.440955527,1.237827955,0.328046862,1530064.8,OK,
OKE,OKE, 64.54 ,0.163253843,0.987273168,0.240192401,3513628.8,OK,
OMC,OMC, 81.71 ,0.082930714,0.809839558,0.23809102,1639409.2,OK,
ON,ON, 83.53 ,0.355786365,1.971077949,0.464971311,6589427.2,OK,
ORCL,ORCL, 103.31 ,0.278447771,0.894841156,0.301710614,9151480,OK,
ORLY,ORLY, 63.34 ,0.130079012,0.570538085,0.201387271,6276234,OK,
OTIS,OTIS, 86.91 ,0.148562799,0.83991598,0.187919683,1878022.8,OK,
OXY,OXY, 57.83 ,-0.010296449,0.900431055,0.275926257,10924755.2,OK,
PANW,PANW, 147.44 ,1.12986646,1.200231235,0.383174777,9159572.8,OK,
PAYC,PAYC, 204.06 ,-0.318155913,1.629957073,0.534920811,668741.6,OK,
PAYX,PAYX, 113.16 ,0.059824875,0.955477408,0.222097504,1938307.2,OK,
PCAR,PCAR, 92.95 ,0.558635147,0.792466211,0.233786343,2653013,OK,
PCG,PCG, 17.92 ,0.150514153,0.792443112,0.204249343,16635025.6,OK,
PEG,PEG, 57.85 ,0.02321715,0.552970051,0.195302044,2575262,OK,
PEP,PEP, 159.79 ,-0.026165569,0.469072574,0.150313462,4911939.6,OK,
PFE,PFE, 25.75 ,-0.412870172,0.408426508,0.23015295,28238846.4,OK,
PFG,PFG, 73.84 ,-0.026599625,1.073283934,0.267263056,1406167.2,OK,
PG,PG, 140.27 ,-0.00864226,0.436641043,0.149281723,6292801.2,OK,
PGR,PGR, 155.17 ,0.227509236,0.505457131,0.299080907,2604200.8,OK,
PH,PH, 452.26 ,0.603923701,1.119983234,0.27345949,781082.4,OK,
PHM,PHM, 101.92 ,1.254444016,1.301038931,0.300122037,2560188,OK,
PKG,PKG, 155.91 ,0.307249254,0.716510073,0.247286868,656630.8,OK,
PLD,PLD, 125.63 ,0.216241374,1.005833468,0.264656563,3086269.6,OK,
PLTR,PLTR, 17.17 ,1.687011023,1.950739612,0.693888814,59097109.6,OK,
PM,PM, 88.14 ,-0.019414107,0.464199215,0.164874488,4326132.4,OK,
PNC,PNC, 145.04 ,0.01696252,1.030684812,0.314068289,2829012,OK,
PNR,PNR, 71.32 ,0.633610301,1.12467203,0.283198945,1362287.2,OK,
PNW,PNW, 66.65 ,0.006883487,0.44718293,0.209044901,859845.2,OK,
PODD,PODD, 216.98 ,-0.242335386,1.303047711,0.397603353,938476,OK,
POOL,POOL, 389.21 ,0.341773127,1.222014518,0.320173317,402150,OK,
PPG,PPG, 143.78 ,0.201418632,1.060167272,0.244491506,1499290,OK,
PPL,PPL, 25.56 ,-0.03703283,0.556989766,0.191377398,5564172.8,OK,
PRU,PRU, 95.57 ,0.100643339,0.987125186,0.245520673,1912707.2,OK,
PSA,PSA, 284.55 ,0.160933983,0.660265637,0.230151605,947454,OK,
PSKY,PSKY, 14.36 ,-0.11426459,1.157260474,0.593372255,13337364,OK,
PSX,PSX, 125.31 ,0.370881024,0.706311206,0.284249188,3307398,OK,
PTC,PTC, 174.96 ,0.462264977,1.220330936,0.207301157,754423.2,OK,
PWR,PWR, 215.38 ,0.537430143,1.084165397,0.276677785,942813.6,OK,
PYPL,PYPL, 61.41 ,-0.17658892,1.608197756,0.363987631,15319095.6,OK,
QCOM,QCOM, 139.44 ,0.385260792,1.522592975,0.31399293,8114767.6,OK,
RCL,RCL, 127.69 ,1.658386583,1.643072838,0.364838945,3401420.4,OK,
REG,REG, 62.49 ,0.112643712,0.916446132,0.232169324,962250.4,OK,
REGN,REGN, 874.54 ,0.21905152,0.600821826,0.24109287,568153.6,OK,
RF,RF, 17.94 ,-0.052944189,1.141415858,0.361957865,9596127.2,OK,
RJF,RJF, 109.19 ,0.068598473,1.094242347,0.280450555,1157042,OK,
RL,RL, 140.42 ,0.354119979,1.246491819,0.274359271,887840,OK,
RMD,RMD, 169.33 ,-0.169361757,0.881500038,0.323737545,983297.6,OK,
ROK,ROK, 300.98 ,0.208262696,1.101204489,0.271227359,774655.2,OK,
ROL,ROL, 42.71 ,0.211590752,0.663052903,0.22785414,1894833.6,OK,
ROP,ROP, 539.73 ,0.262329791,0.769639214,0.155700629,515198.4,OK,
ROST,ROST, 135.84 ,0.208903607,1.091161899,0.209647702,2296375.6,OK,
RSG,RSG, 162.28 ,0.299501711,0.526331945,0.157395124,1229739.6,OK,
RTX,RTX, 81.02 ,-0.14344939,0.701825017,0.238610249,6781325.6,OK,
RVTY,RVTY, 108.80 ,-0.223747111,1.020150396,0.324855208,819044,OK,
SBAC,SBAC, 245.38 ,-0.08618741,0.830229997,0.301981075,834571.2,OK,
SBUX,SBUX, 91.81 ,-0.027825295,1.023806159,0.226430842,6561352.4,OK,
SCHW,SCHW, 67.17 ,-0.146154691,1.081629244,0.421530845,14881876.4,OK,
SHW,SHW, 307.29 ,0.315944992,0.878606238,0.251516436,1465121.2,OK,
SJM,SJM, 118.24 ,-0.180686458,0.189832157,0.194630912,1093774.8,OK,
SLB,SLB, 49.59 ,0.029999293,0.795476267,0.335326186,9261822.8,OK,
SMCI,SMCI, 28.43 ,2.389697315,1.499944255,0.751333164,26104984,OK,
SNA,SNA, 275.89 ,0.292010061,0.792472191,0.216026594,268953.2,OK,
SNPS,SNPS, 514.91 ,0.610704407,1.397845961,0.274690818,866296.8,OK,
SO,SO, 65.98 ,0.015166788,0.445027487,0.188668164,4190941.2,OK,
SOLV,SOLV,,,,,,OK,
SPG,SPG, 130.72 ,0.291776092,1.081806555,0.252673165,1525161.2,OK,
SPGI,SPGI, 434.76 ,0.327038165,1.010221635,0.220203938,1234482.8,OK,
SRE,SRE, 71.16 ,0.00482321,0.576442082,0.195096737,2710598.8,OK,
STE,STE, 216.13 ,0.196162007,0.883311533,0.266770355,447693.6,OK,
STLD,STLD, 115.48 ,0.260142996,1.157429896,0.371827489,1548464.8,OK,
STT,STT, 73.65 ,0.024420916,1.240621126,0.306464752,2572556.4,OK,
STX,STX, 81.83 ,0.714992082,1.209261435,0.354546343,2477687.6,OK,
STZ,STZ, 233.84 ,0.077633475,0.621696219,0.206521716,1156844.8,OK,
SW,SW, 38.08 ,0.116932261,0.477666179,0.420985787,772.4,OK,
SWK,SWK, 91.51 ,0.336487718,1.177715879,0.343919922,1588617.6,OK,
SWKS,SWKS, 106.08 ,0.274272757,1.526728843,0.314207669,1763169.6,OK,
SYF,SYF, 36.85 ,0.214996812,1.337966942,0.330775263,4963108,OK,
SYK,SYK, 295.41 ,0.230248872,0.980774862,0.234437381,1373628.4,OK,
SYY,SYY, 69.74 ,-0.011091056,0.790430166,0.179781313,2546429.6,OK,
T,T, 15.29 ,-0.044439218,0.466407373,0.270295746,38440583.6,OK,
TAP,TAP, 57.82 ,0.272936641,0.512158999,0.225871699,1832790,OK,
TDG,TDG, 896.49 ,0.676004267,1.121670814,0.225733206,264653.6,OK,
TDY,TDY, 446.29 ,0.113581408,0.940633549,0.202745044,241593.2,OK,
TECH,TECH, 76.50 ,-0.060971791,1.212045812,0.318218516,1025155.2,OK,
TEL,TEL, 136.46 ,0.247766847,1.207024523,0.21240102,1539332.4,OK,
TER,TER, 107.69 ,0.268401011,1.726531261,0.322913887,1628950,OK,
TFC,TFC, 33.80 ,-0.098459593,1.136986298,0.427771614,11402226.4,OK,
TGT,TGT, 134.14 ,-0.030992017,1.062543505,0.310794615,4508958.4,OK,
TJX,TJX, 91.66 ,0.205835764,0.856127496,0.160178529,5051601.2,OK,
TKO,TKO, 80.87 ,0.238397368,0.559548126,0.389286398,1103284.4,OK,
TMO,TMO, 527.88 ,-0.037907148,0.91018559,0.227340936,1580386.4,OK,
TMUS,TMUS, 156.34 ,0.158155203,0.666985422,0.188451513,5222516.8,OK,
TPL,TPL, 511.46 ,-0.246292275,0.879166037,0.35092988,112304.4,OK,
TPR,TPR, 35.29 ,-0.017713794,1.31643418,0.337355801,3524483.6,OK,
TRGP,TRGP, 83.66 ,0.258907025,0.991317328,0.250678578,1598411.2,OK,
TRMB,TRMB, 53.20 ,0.051383446,1.45969528,0.309953174,1311493.2,OK,
TROW,TROW, 99.11 ,0.032671039,1.466201836,0.289851754,1501772.8,OK,
TRV,TRV, 184.81 ,0.041353475,0.52690814,0.20862281,1347652.8,OK,
TSCO,TSCO, 41.78 ,-0.017701307,0.869200574,0.241828701,5901604,OK,
TSLA,TSLA, 248.48 ,1.298612389,1.886031817,0.526487742,137351640,OK,
TSN,TSN, 50.66 ,-0.123447449,0.507213594,0.27824299,3116634,OK,
TT,TT, 239.72 ,0.444374458,1.014446847,0.269052578,1316564.8,OK,
TTD,TTD, 71.96 ,0.634711457,2.347716485,0.560780654,4392692.4,OK,
TTWO,TTWO, 160.95 ,0.560954282,0.910478643,0.28676432,1682126.4,OK,
TXN,TXN, 161.96 ,0.077194788,1.185320909,0.240060905,5160044.4,OK,
TXT,TXT, 80.28 ,0.145861319,1.130886063,0.236261725,1318727.6,OK,
TYL,TYL, 418.12 ,0.309366526,1.285451939,0.269405563,241476.4,OK,
UAL,UAL, 41.26 ,0.108841691,1.390213561,0.363818075,7420893.6,OK,
UBER,UBER, 61.57 ,1.427839046,1.548560169,0.361866716,24509993.2,OK,
UDR,UDR, 35.56 ,0.034913644,0.80957272,0.244176962,2437373.2,OK,
UHS,UHS, 151.31 ,0.075202034,0.930921636,0.256263831,616396.8,OK,
ULTA,ULTA, 489.99 ,0.03892879,0.953409969,0.279620847,771660,OK,
UNH,UNH, 509.30 ,0.03037946,0.535307467,0.211068104,3272940.4,OK,
UNP,UNP, 236.07 ,0.213098158,0.757766855,0.240574827,2794193.6,OK,
UPS,UPS, 142.79 ,-0.067306889,0.908682858,0.233175041,3419080.4,OK,
URI,URI, 564.39 ,0.630258911,1.426842193,0.381839682,817594,OK,
USB,USB, 40.43 ,0.02372563,0.977373023,0.4026933,13333486.8,OK,
V,V, 257.06 ,0.265333407,0.951648638,0.155830531,5971248,OK,
VICI,VICI, 28.93 ,0.057013752,0.838401863,0.193427529,5666483.6,OK,
VLO,VLO, 123.24 ,0.118768398,0.715564102,0.324236688,3912836,OK,
VLTO,VLTO, 81.76 ,0.058471258,1.242561066,0.336628066,3118304.918,OK,
VMC,VMC, 224.13 ,0.300186136,1.002165199,0.232925159,794224.4,OK,
VRSK,VRSK, 236.33 ,0.3552939,0.785172835,0.199432229,1003622.4,OK,
VRSN,VRSN, 204.81 ,0.020007941,0.979644553,0.18993656,516752.8,OK,
VRTX,VRTX, 406.89 ,0.422592932,0.607740385,0.250811949,1225987.6,OK,
VST,VST, 37.98 ,0.778654769,0.770652835,0.293899763,3967850.8,OK,
VTR,VTR, 47.47 ,0.142508909,0.76760265,0.26324207,2206552,OK,
VTRS,VTRS, 10.01 ,-0.001849948,0.807239297,0.251447634,9098885.2,OK,
VZ,VZ, 33.64 ,0.008699245,0.364577288,0.229667897,21913626.8,OK,
WAB,WAB, 125.79 ,0.280281286,1.006222405,0.211835521,916165.6,OK,
WAT,WAT, 329.23 ,-0.047339291,0.964931942,0.300075149,491596,OK,
WBD,WBD, 11.38 ,0.192872134,1.228783822,0.543601999,20960735.6,OK,
WDAY,WDAY, 276.06 ,0.630115073,1.43356272,0.317549043,1919336,OK,
WDC,WDC, 39.46 ,0.667303234,1.399535683,0.382132402,5686161.436,OK,
WEC,WEC, 78.95 ,-0.073921493,0.398887041,0.200433471,1524795.2,OK,
WELL,WELL, 86.91 ,0.388243899,0.71850832,0.24214155,2481612.8,OK,
WFC,WFC, 47.18 ,0.214655219,1.031073521,0.277210634,19229064.8,OK,
WM,WM, 174.65 ,0.160848379,0.464189215,0.165036141,1573794,OK,
WMB,WMB, 32.49 ,0.144731949,0.627958908,0.189575831,6736963.6,OK,
WMT,WMT, 51.54 ,0.114586468,0.440026219,0.156261715,18941738.4,OK,
WRB,WRB, 45.53 ,0.00233515,0.578300837,0.219930391,2104377,OK,
WSM,WSM, 98.12 ,0.815799987,1.318059932,0.372928164,2076477.6,OK,
WST,WST, 350.42 ,0.505668461,1.073385257,0.291768281,438770.8,OK,
WTW,WTW, 236.87 ,-0.001602314,0.758506916,0.236277285,584862,OK,
WY,WY, 32.98 ,0.185776404,1.038668192,0.239011249,3906830,OK,
WYNN,WYNN, 89.44 ,0.07259949,1.294218834,0.305015336,2282371.6,OK,
XEL,XEL, 58.18 ,-0.086226601,0.466714209,0.197284646,3605570.8,OK,
XOM,XOM, 94.08 ,-0.029259974,0.612763537,0.248863798,17480114.4,OK,
XYL,XYL, 112.09 ,0.045931262,1.077264925,0.233228937,1695806.4,OK,
XYZ,XYZ, 77.35 ,0.196627463,2.536650877,0.502099682,12455133.2,OK,
YUM,YUM, 126.27 ,0.048507172,0.671803126,0.161497305,1577857.2,OK,
ZBH,ZBH, 120.09 ,-0.036420691,0.80899611,0.20555919,1554620.4,OK,
ZBRA,ZBRA, 273.33 ,0.050461083,1.496484822,0.411914353,404663.6,OK,
ZTS,ZTS, 193.54 ,0.356284549,0.953821234,0.250276269,1941680.4,OK,
